Mid-Bin Energy (keV), Fluence (photons/mm2)
1.5,2.26601E-92
2.5,6.1463E-296
3.5,7.2932E-115
4.5,1.10765E-53
5.5,4.41234E-27
6.5,8.32534E-14
7.5,2.02745E-06
8.5,0.07043477
9.5,30.91629368
10.5,1348.082979
11.5,20021.74436
12.5,131185.3413
13.5,586095.8476
14.5,1843611.648
15.5,4292499.477
16.5,8399105.358
17.5,13695955.51
18.5,20546930.32
19.5,27669265.92
20.5,34971561.32
21.5,41930085.58
22.5,48281996.76
23.5,54082187.94
24.5,58010204.99
25.5,61985630.72
26.5,63949980.12
27.5,65934231.12
28.5,67528300.98
29.5,65871747.62
30.5,63497260.6
31.5,65414227.23
32.5,63031288.9
33.5,61350965.68
34.5,58318278.88
35.5,55887163.56
36.5,52748978.26
37.5,48991323.66
38.5,46921071.48
39.5,41625735.38
40.5,39042722.26
41.5,35505174.86
42.5,30427880.99
43.5,27650673.37
44.5,24338654.31
45.5,19508807.91
46.5,15237718.76
47.5,11086927.05
48.5,7356071.54
49.5,3218602.784